Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,WhiteTitle,BlackTitle,moves_line,tag_line
Rated Bullet game,https://lichess.org/Z5eCHKU8,2018.09.30,-,tidepod,tacojohn,1-0,2018.09.30,22:00:31,1252,1169,8,-8,C70,"Ruy Lopez: Morphy Defense, Caro Variation",120+1,Time forfeit,,,11964,11946
Rated Bullet game,https://lichess.org/t93jtSrE,2018.09.30,-,stephenafamo,mindfo,1-0,2018.09.30,22:00:31,1666,1749,13,-13,B22,Sicilian Defense: Alapin Variation,120+1,Normal,,,11984,11966
Rated Bullet game,https://lichess.org/IluDhnyZ,2018.09.30,-,dmhirsch,mirek50,0-1,2018.09.30,22:00:32,1257,1285,-13,10,A51,Indian Game: Budapest Defense,120+1,Normal,,,12004,11986
Rated Bullet game,https://lichess.org/GX4pwoWJ,2018.09.30,-,nerl,esojsabuc,1-0,2018.09.30,22:01:05,1419,1376,9,-9,C00,French Defense: Knight Variation,60+0,Normal,,,12024,12006
Rated Bullet game,https://lichess.org/nqRXOo8z,2018.09.30,-,Mariomoralessoto,Mehdi92,1-0,2018.09.30,22:01:05,1842,2037,16,-16,A40,"Englund Gambit Declined, Reversed French",60+0,Normal,,,12044,12026
Rated Bullet game,https://lichess.org/alkBU6pY,2018.09.30,-,mk033,Zinou21,1-0,2018.09.30,22:01:06,1767,1687,8,-8,A45,Indian Game,60+0,Time forfeit,,,12064,12046
Rated Blitz game,https://lichess.org/cOi54ke4,2018.09.30,-,omarelmarakby6,afonsoldm,0-1,2018.09.30,22:01:06,1324,1382,-8,8,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",180+2,Normal,,,12084,12066
Rated Blitz game,https://lichess.org/WqM8C5sj,2018.09.30,-,greentoothbrush,dreamshake_67,1-0,2018.09.30,22:01:06,1178,1183,11,-11,C42,Russian Game: Urusov Gambit,180+2,Normal,,,12104,12086
Rated Blitz game,https://lichess.org/MQQ6aNZ7,2018.09.30,-,pescellini,guadamuz97,0-1,2018.09.30,22:01:06,1789,1803,-10,11,C46,Four Knights Game,180+2,Normal,,,12124,12106
Rated Blitz game,https://lichess.org/FLHBfPGg,2018.09.30,-,Gevorg11,Devotin,1-0,2018.09.30,22:01:06,1839,1884,13,-12,C45,Scotch Game: Classical Variation,180+2,Normal,,,12144,12126
Rated Blitz game,https://lichess.org/xAwp7tAZ,2018.09.30,-,anibar,Muzikopat,0-1,2018.09.30,22:01:06,1462,1573,-7,8,C45,Scotch Game: Classical Variation,180+2,Time forfeit,,,12164,12146
Rated Blitz game,https://lichess.org/lTlI6ZsO,2018.09.30,-,aaliiarslan76,tahachess78,1-0,2018.09.30,22:01:06,1761,1739,9,-10,E70,King's Indian Defense: Accelerated Averbakh Variation,180+2,Normal,,,12184,12166
Rated Blitz game,https://lichess.org/A1LYeSJj,2018.09.30,-,knightsweats,ElectricChicken,1-0,2018.09.30,22:01:06,1265,1220,10,-9,C46,Three Knights Opening: Winawer Defense,180+2,Normal,,,12204,12186
Rated Bullet game,https://lichess.org/OJJn2eRj,2018.09.30,-,QueenMaster77,SlicedBrain,1-0,2018.09.30,22:01:06,2026,1615,2,-2,C01,"French Defense: Winawer Variation, Delayed Exchange Variation",30+0,Time forfeit,,,12224,12206
Rated Blitz game,https://lichess.org/B9q0piJy,2018.09.30,-,TigranAvushyan,iwnulse,1-0,2018.09.30,22:01:07,1478,1546,59,-11,B21,Sicilian Defense: Smith-Morra Gambit #2,300+0,Normal,,,12244,12226
Rated Rapid game,https://lichess.org/urPCcFjb,2018.09.30,-,Demirsuleyman,tonysyda,0-1,2018.09.30,22:01:07,1375,1396,-10,10,C41,Philidor Defense #3,600+0,Normal,,,12264,12246
Rated Blitz game,https://lichess.org/VA05oUCM,2018.09.30,-,bsitki,silent_thunder,1-0,2018.09.30,22:01:07,1359,1386,11,-11,C21,Danish Gambit,300+0,Normal,,,12284,12266
Rated Blitz game,https://lichess.org/CHBfXman,2018.09.30,-,auld67,zeljkomne98,0-1,2018.09.30,22:01:07,1351,1292,-12,12,B00,Owen Defense,300+0,Time forfeit,,,12304,12286
Rated Blitz game,https://lichess.org/aHgRJupj,2018.09.30,-,Samaevsky,Lukman68,1-0,2018.09.30,22:01:07,1507,1524,11,-10,C62,Ruy Lopez: Steinitz Defense,300+0,Normal,,,12324,12306
Rated Blitz game,https://lichess.org/SQOqSA7h,2018.09.30,-,sharli91,Joshus,1-0,2018.09.30,22:01:07,812,800,14,0,B01,Scandinavian Defense,300+0,Time forfeit,,,12344,12326
Rated Blitz game,https://lichess.org/ME5BrmGm,2018.09.30,-,MetalKing77,TheMagicNose,1-0,2018.09.30,22:01:07,1766,1692,9,-23,A36,"English Opening: Symmetrical Variation, Fianchetto Variation",300+0,Time forfeit,,,12364,12346
Rated Blitz game,https://lichess.org/b8Et1qca,2018.09.30,-,sakkfery1961,tlgksk,1-0,2018.09.30,22:01:07,1495,1499,10,-11,C42,Petrov's Defense,300+0,Normal,,,12384,12366
Rated Blitz game,https://lichess.org/xTkTTPZP,2018.09.30,-,yoonix,TRex7,0-1,2018.09.30,22:01:07,1398,1400,-10,10,C23,Bishop's Opening,300+0,Normal,,,12404,12386
Rated Blitz game,https://lichess.org/rjEyXHDr,2018.09.30,-,jafarj,Someuser_04,1-0,2018.09.30,22:01:07,1528,1626,13,-13,C00,French Defense: Steinitz Attack,300+0,Normal,,,12424,12406
Rated Blitz game,https://lichess.org/8b9Dc1xE,2018.09.30,-,securty34,atilak,1-0,2018.09.30,22:01:07,883,940,12,-14,B02,Alekhine Defense: MarÃ³czy Variation,300+0,Time forfeit,,,12444,12426
Rated Blitz game,https://lichess.org/58btP7vF,2018.09.30,-,schwiftyfifty,mrygrc,0-1,2018.09.30,22:01:07,1489,1439,-12,12,B30,Sicilian Defense: Old Sicilian,300+0,Normal,,,12464,12446
Rated Blitz game,https://lichess.org/3zLqZ50y,2018.09.30,-,SirEsh05,lexxx2010,0-1,2018.09.30,22:01:07,2011,2007,-11,11,B01,Scandinavian Defense: Modern Variation #2,300+0,Normal,,,12484,12466
Rated Blitz game,https://lichess.org/6kho5ji8,2018.09.30,-,Donald1821,tosevmitko,1-0,2018.09.30,22:01:07,1254,1199,46,-8,B01,Scandinavian Defense,300+0,Normal,,,12504,12486
Rated Blitz game,https://lichess.org/Jps5VCkA,2018.09.30,-,principcom,xnal,1-0,2018.09.30,22:01:07,1955,1782,6,-6,C34,"King's Gambit Accepted, Schallopp Defense",180+0,Time forfeit,,,12524,12506
Rated Blitz tournament https://lichess.org/tournament/1MrPr6df,https://lichess.org/Q940BiDx,2018.09.30,-,Playthisgame,ucheamadi1,1-0,2018.09.30,22:01:07,1962,2027,12,-13,C24,Bishop's Opening: Berlin Defense,180+0,Normal,,,12544,12526
Rated Blitz game,https://lichess.org/gpc92Zbw,2018.09.30,-,CHESSIOO,mychesscz,0-1,2018.09.30,22:01:08,1188,1597,-3,2,A00,Mieses Opening,420+0,Normal,,,12564,12546
Rated Bullet game,https://lichess.org/6quIqQf7,2018.09.30,-,Silvstedt,Chesschess91,0-1,2018.09.30,22:01:08,1419,1457,-9,9,E70,King's Indian Defense: Normal Variation,120+1,Normal,,,12584,12566
Rated Bullet game,https://lichess.org/wKuQZrYa,2018.09.30,-,Kadir376,FaruqZia,0-1,2018.09.30,22:01:08,1060,1086,-56,9,A40,Modern Defense,120+1,Normal,,,12604,12586
Rated Bullet game,https://lichess.org/Iczxd8Jz,2018.09.30,-,falk17,MohamedSalahEgy,1-0,2018.09.30,22:01:08,1372,1404,12,-11,A04,Zukertort Opening: Sicilian Invitation,120+1,Normal,,,12624,12606
Rated Bullet game,https://lichess.org/qVvre2HF,2018.09.30,-,Hellmaister,charry,0-1,2018.09.30,22:01:08,1623,1621,-10,10,A02,Bird Opening,120+1,Normal,,,12644,12626
Rated Bullet game,https://lichess.org/h016LGhp,2018.09.30,-,shts,Spielposterjan,1-0,2018.09.30,22:01:08,1310,1308,11,-10,D20,Queen's Gambit Accepted: Old Variation,120+1,Time forfeit,,,12664,12646
Rated Bullet game,https://lichess.org/psbdE0LQ,2018.09.30,-,Johnaru_Bartholomura,argosek,1-0,2018.09.30,22:01:08,1749,1817,12,-12,D06,Queen's Gambit Refused: Marshall Defense,120+1,Time forfeit,,,12684,12666
Rated Bullet game,https://lichess.org/GSfO365z,2018.09.30,-,thestrongested,Kevblm,1/2-1/2,2018.09.30,22:01:08,1839,1919,3,-2,C65,"Ruy Lopez: Berlin Defense, Nyholm Attack",120+1,Normal,,,12704,12686
Rated Bullet game,https://lichess.org/1UJHP9nE,2018.09.30,-,eliezer723,waldortiz,1-0,2018.09.30,22:01:08,1185,1157,10,-10,D02,Queen's Pawn Game: Zukertort Variation,120+1,Normal,,,12724,12706
Rated Blitz game,https://lichess.org/FhtGryzw,2018.09.30,-,K-i-r,amerkocan,1-0,2018.09.30,22:01:08,1422,1387,9,-11,A04,Zukertort Opening: Queen's Gambit Invitation,180+0,Normal,,,12744,12726
Rated Bullet game,https://lichess.org/LEPRSrNA,2018.09.30,-,WasArt69,AlMoStLeGeNdArY,0-1,2018.09.30,22:01:08,2014,1927,-13,14,C41,"Philidor Defense: Philidor Countergambit, Zukertort Variation",60+0,Time forfeit,,,12764,12746
Rated Rapid game,https://lichess.org/kJFq4i59,2018.09.30,-,Hazel-rah,hadavand,0-1,2018.09.30,22:01:09,1703,1850,-6,7,D53,Queen's Gambit Declined: 4.Bg5 Be7,600+0,Time forfeit,,,12784,12766
Rated Bullet game,https://lichess.org/eycy2Qwq,2018.09.30,-,zuninjo,concorde,1-0,2018.09.30,22:01:09,1575,1285,3,-3,B10,Caro-Kann Defense,120+0,Time forfeit,,,12804,12786
Rated Blitz game,https://lichess.org/vxNu07Cd,2018.09.30,-,flotskaya27,abdel-sab,1-0,2018.09.30,22:01:09,1850,1876,11,-11,C41,Philidor Defense #3,300+0,Normal,,,12824,12806
Rated Bullet game,https://lichess.org/NQkktxbR,2018.09.30,-,awaman,mfscott,0-1,2018.09.30,22:01:09,1483,1501,-10,10,B20,"Sicilian Defense: Wing Gambit, Carlsbad Variation",60+0,Time forfeit,,,12844,12826
Rated Bullet game,https://lichess.org/tvUOD9Rz,2018.09.30,-,urmi,ex-chess,1-0,2018.09.30,22:01:09,1864,2061,17,-17,B20,Sicilian Defense,30+0,Normal,,,12864,12846
Rated Blitz game,https://lichess.org/o3fjNo3R,2018.09.30,-,adishow,I-am-MrRuiz,1/2-1/2,2018.09.30,22:01:10,1071,1091,1,0,C20,King's Pawn Game: Wayward Queen Attack,180+0,Normal,,,12884,12866
Rated Blitz tournament https://lichess.org/tournament/E2HEP3rg,https://lichess.org/0DwaxaPB,2018.09.30,-,Stemplarv,BisonDigit007,0-1,2018.09.30,22:01:11,1555,1624,-10,10,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,180+0,Time forfeit,,,12904,12886
Rated Blitz tournament https://lichess.org/tournament/E2HEP3rg,https://lichess.org/hdCIHOfn,2018.09.30,-,betobastos,faraonwa,1-0,2018.09.30,22:01:11,1500,1285,5,-5,C46,Three Knights Opening,180+0,Time forfeit,,,12924,12906
Rated Bullet game,https://lichess.org/qThoCqEO,2018.09.30,-,louisrobert,sdharty,1-0,2018.09.30,22:01:11,1544,1557,10,-11,C01,French Defense: Exchange Variation,60+0,Time forfeit,,,12944,12926
Rated Bullet game,https://lichess.org/EHnZGNbE,2018.09.30,-,MrPouge,abirvalg,1-0,2018.09.30,22:01:11,1736,1784,11,-11,B00,St. George Defense,60+0,Time forfeit,,,12964,12946
Rated Bullet game,https://lichess.org/dio886jm,2018.09.30,-,paroledejesus,BloodlessLord,1-0,2018.09.30,22:01:11,1210,1143,8,-10,B20,Sicilian Defense,60+0,Normal,,,12984,12966
Rated Bullet game,https://lichess.org/vAW7YJm8,2018.09.30,-,Drunkenness,ibrzaq,1-0,2018.09.30,22:01:11,1226,1317,13,-13,D02,Queen's Pawn Game: London System,60+0,Time forfeit,,,13004,12986
Rated Bullet game,https://lichess.org/zj2RPgoC,2018.09.30,-,joacof14,overclock,0-1,2018.09.30,22:01:11,1905,1890,-10,11,B00,"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",60+0,Normal,,,13024,13006
Rated Bullet game,https://lichess.org/snj3qm9C,2018.09.30,-,Don_Passant,nunomartins2019,0-1,2018.09.30,22:01:11,1246,1222,-11,11,B70,Sicilian Defense: Dragon Variation,60+0,Time forfeit,,,13044,13026
Rated Bullet game,https://lichess.org/bP5NNnxf,2018.09.30,-,cagrigunes1988,teretana,1-0,2018.09.30,22:01:11,1533,1394,6,-13,C00,French Defense: King's Indian Attack,60+0,Time forfeit,,,13064,13046
Rated Bullet game,https://lichess.org/jU2E7EaG,2018.09.30,-,faraonlatino,goodbyehorses1,0-1,2018.09.30,22:01:11,1659,1606,-12,12,B90,"Sicilian Defense: Najdorf Variation, English Attack",60+0,Time forfeit,,,13084,13066
Rated Bullet game,https://lichess.org/8xcfb8xH,2018.09.30,-,BR123995,R25Rex,0-1,2018.09.30,22:01:11,1080,1034,-12,13,B01,Scandinavian Defense: Mieses-Kotroc Variation,60+0,Time forfeit,,,13104,13086
Rated Bullet game,https://lichess.org/6zLWB06E,2018.09.30,-,IFightLikeABrave,MirazoPono,1-0,2018.09.30,22:01:11,1942,1872,9,-9,B90,"Sicilian Defense: Najdorf Variation, English Attack",60+0,Normal,,,13124,13106
Rated Bullet game,https://lichess.org/GOIpZGIA,2018.09.30,-,winwlad,inachis,0-1,2018.09.30,22:01:11,1949,1963,-10,11,D00,Queen's Pawn Game: Levitsky Attack,60+0,Time forfeit,,,13144,13126
Rated Rapid game,https://lichess.org/94rHMfmZ,2018.09.30,-,andrei70ster,H-HH,0-1,2018.09.30,22:01:11,2005,2310,-3,4,A88,"Dutch Defense: Leningrad Variation, Warsaw Variation",600+0,Normal,,,13164,13146
Rated Blitz game,https://lichess.org/pVVB0hRU,2018.09.30,-,sidr5525,rlastra,0-1,2018.09.30,22:01:11,1211,1344,-58,6,C23,Bishop's Opening,300+0,Normal,,,13184,13166
Rated Blitz game,https://lichess.org/bV9Omm4L,2018.09.30,-,olivier97351,pepellou,1/2-1/2,2018.09.30,22:01:12,827,2092,11,-14,B00,Goldsmith Defense,300+0,Normal,,,13204,13186
Rated Rapid game,https://lichess.org/1pf8sLdP,2018.09.30,-,twatmagnet,jay40cal,1-0,2018.09.30,22:01:12,943,855,8,-10,C42,Russian Game: Urusov Gambit,600+0,Normal,,,13224,13206
Rated Rapid game,https://lichess.org/lIWgWfUM,2018.09.30,-,AlirezaGhorbi,Salman44,0-1,2018.09.30,22:01:12,1430,1295,-27,14,C64,Ruy Lopez: Classical Variation,600+0,Time forfeit,,,13244,13226
Rated Rapid game,https://lichess.org/LlEyc7mm,2018.09.30,-,roronoa00,suodla77,0-1,2018.09.30,22:01:12,1671,1676,-10,10,D06,Queen's Gambit Refused: Marshall Defense,600+0,Normal,,,13264,13246
Rated Rapid game,https://lichess.org/j206qAP0,2018.09.30,-,Soheil4444,aliiibababa,1-0,2018.09.30,22:01:12,1842,1750,7,-57,E20,Nimzo-Indian Defense #2,600+0,Normal,,,13284,13266
Rated Rapid game,https://lichess.org/vETENnvp,2018.09.30,-,lachataigne,eren___sahin,1-0,2018.09.30,22:01:12,1625,1663,12,-12,B20,Sicilian Defense: Snyder Variation,600+0,Normal,,,13304,13286
Rated Rapid game,https://lichess.org/AAebF9qH,2018.09.30,-,joncol79,letgomybishop,0-1,2018.09.30,22:01:12,1526,1542,-9,10,C01,French Defense: Exchange Variation,600+0,Normal,,,13324,13306
Rated Rapid game,https://lichess.org/CiWI3wmQ,2018.09.30,-,GP33,carlosestr,1-0,2018.09.30,22:01:12,1490,1485,10,-10,D00,"Queen's Pawn Game: Veresov Attack, Alburt Defense",600+0,Time forfeit,,,13344,13326
Rated Rapid game,https://lichess.org/Wj1EfSnU,2018.09.30,-,nral49,shahramf419,0-1,2018.09.30,22:01:12,2041,1960,-14,13,D00,Queen's Pawn Game: Mason Attack,600+0,Normal,,,13364,13346
Rated Rapid game,https://lichess.org/bRrOjb3o,2018.09.30,-,JMCM68,Laky941,1-0,2018.09.30,22:01:12,1253,1267,11,-11,C42,Russian Game: Three Knights Game,600+0,Normal,,,13384,13366
Rated Rapid game,https://lichess.org/n1p2Hog0,2018.09.30,-,Uver1976,barukh,0-1,2018.09.30,22:01:12,1849,1889,-13,9,B21,Sicilian Defense: Smith-Morra Gambit,600+0,Normal,,,13404,13386
Rated Rapid game,https://lichess.org/R6YGJwLI,2018.09.30,-,raywonteja93,NovelMonster,0-1,2018.09.30,22:01:12,1206,1052,-15,15,B00,Owen Defense,600+0,Normal,,,13424,13406
Rated Rapid game,https://lichess.org/6xdAmZUl,2018.09.30,-,Eqbal56,kav91,0-1,2018.09.30,22:01:12,1741,1749,-10,10,A45,Indian Game,600+0,Normal,,,13444,13426
Rated Bullet game,https://lichess.org/fuhxRKev,2018.09.30,-,don_vito_76,VictorTheBoss,0-1,2018.09.30,22:01:12,1899,1860,-10,12,C22,Center Game: Paulsen Attack Variation,60+0,Normal,,,13464,13446
Rated Rapid game,https://lichess.org/ZdJ6hkji,2018.09.30,-,yannickst,pwidi,0-1,2018.09.30,22:01:12,1366,1491,-8,7,C20,Bishop's Opening: Boi Variation,300+8,Normal,,,13484,13466
Rated Bullet game,https://lichess.org/eF3ajnTP,2018.09.30,-,Jumper11,martaspb,1-0,2018.09.30,22:01:12,1585,1599,12,-11,A56,Benoni Defense,120+0,Normal,,,13504,13486
Rated Blitz game,https://lichess.org/wWyr4x1l,2018.09.30,-,dotleo,Sir-Abo,0-1,2018.09.30,22:01:12,1659,1708,-9,9,A36,"English Opening: Symmetrical Variation, Fianchetto Variation",180+0,Time forfeit,,,13524,13506
Rated Bullet game,https://lichess.org/H2o1pZ9E,2018.09.30,-,Besserwisser111,lahawla,1-0,2018.09.30,22:01:12,1895,1335,2,-6,A40,Modern Defense,60+0,Time forfeit,,,13544,13526
Rated Bullet game,https://lichess.org/Osw0XUqI,2018.09.30,-,Roimat,baronetto,1-0,2018.09.30,22:01:13,1646,1624,9,-9,B00,Nimzowitsch Defense,60+0,Time forfeit,,,13564,13546
Rated Blitz game,https://lichess.org/SsBqVBZw,2018.09.30,-,tazita,pabolouus,1-0,2018.09.30,22:01:13,1069,1065,11,-10,C20,King's Pawn Game: Leonardis Variation,300+3,Normal,,,13584,13566
Rated Blitz game,https://lichess.org/2DrCXvqO,2018.09.30,-,x50vlseries,GerardBons,0-1,2018.09.30,22:01:13,1401,1443,-9,9,A84,Dutch Defense,300+3,Normal,,,13604,13586
Rated Blitz game,https://lichess.org/FsJth5ih,2018.09.30,-,KamaelTray,glebdius,1-0,2018.09.30,22:01:13,1105,1160,12,-12,C42,Russian Game: Three Knights Game,300+3,Normal,,,13624,13606
Rated Blitz game,https://lichess.org/M7iC0u9D,2018.09.30,-,phi-v,moiny,1-0,2018.09.30,22:01:13,1479,1483,10,-11,D00,Queen's Pawn Game: Mason Attack,300+3,Normal,,,13644,13626
Rated Blitz game,https://lichess.org/myeuOk92,2018.09.30,-,Mopeyhydra17,gmurph,1-0,2018.09.30,22:01:13,1240,1173,8,-9,C02,French Defense: Advance Variation #3,300+3,Normal,,,13664,13646
Rated Blitz game,https://lichess.org/9oncWKcf,2018.09.30,-,prashants17,euamoanana,0-1,2018.09.30,22:01:13,1358,1290,-12,12,C22,Center Game: Paulsen Attack Variation,300+3,Normal,,,13684,13666
Rated Blitz game,https://lichess.org/SQ9teNp8,2018.09.30,-,suzuloko,MasisChess,0-1,2018.09.30,22:01:13,1484,1536,-9,9,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation",300+3,Normal,,,13704,13686
Rated Blitz game,https://lichess.org/pw9jyDim,2018.09.30,-,m_gliez,MWolf,1-0,2018.09.30,22:01:13,1071,1103,12,-16,D10,Slav Defense,300+3,Normal,,,13724,13706
Rated Blitz game,https://lichess.org/4AgYCOcu,2018.09.30,-,imad12,KingXI,0-1,2018.09.30,22:01:13,1627,1601,-10,11,B21,Sicilian Defense: McDonnell Attack,180+0,Normal,,,13744,13726
Rated Blitz game,https://lichess.org/gZMnOhtd,2018.09.30,-,Pirlo65,Soldado033,0-1,2018.09.30,22:01:13,1784,1809,-9,10,D03,Queen's Pawn Game: Torre Attack,300+0,Normal,,,13764,13746
Rated Bullet game,https://lichess.org/nYgkoi8v,2018.09.30,-,Sweet_Fruit,CosmosStar,1-0,2018.09.30,22:01:13,1326,1295,10,-9,D00,Queen's Pawn Game,120+0,Time forfeit,,,13784,13766
Rated Blitz game,https://lichess.org/Bi9ZHPlR,2018.09.30,-,Dipsundar,kerfid,1-0,2018.09.30,22:01:14,1444,1453,11,-11,B01,Scandinavian Defense: Modern Variation #2,180+2,Normal,,,13804,13786
Rated Classical game,https://lichess.org/lEvvJp09,2018.09.30,-,mother1508,DirtbagDanby,0-1,2018.09.30,22:01:15,831,955,-20,7,C20,King's Pawn Game,900+15,Normal,,,13824,13806
Rated Classical game,https://lichess.org/7meYe1S0,2018.09.30,-,muratcam61,tchakh,1-0,2018.09.30,22:01:15,1601,1481,6,-125,C53,Italian Game: Classical Variation #2,900+15,Normal,,,13844,13826
Rated Classical game,https://lichess.org/5swQ1oBH,2018.09.30,-,atuldhabhai,noblex1,1-0,2018.09.30,22:01:15,1255,1301,12,-12,A00,Van't Kruijs Opening,900+15,Normal,,,13864,13846
Rated Classical game,https://lichess.org/FzBdlJjh,2018.09.30,-,Mikebike,dz123,1-0,2018.09.30,22:01:15,1392,1334,9,-10,C48,"Four Knights Game: Spanish Variation, Classical Variation",900+15,Normal,,,13884,13866
Rated Classical game,https://lichess.org/bwYS9Af9,2018.09.30,-,zico229,VitalyKuprin,0-1,2018.09.30,22:01:15,1665,1690,-10,10,C02,"French Defense: Advance Variation, Paulsen Attack",900+15,Time forfeit,,,13904,13886
Rated Classical game,https://lichess.org/ZJAxo21I,2018.09.30,-,methodious,charbell,1-0,2018.09.30,22:01:15,1090,1026,31,-9,B01,Scandinavian Defense: Mieses-Kotroc Variation,900+15,Normal,,,13924,13906
Rated Bullet game,https://lichess.org/jfzgAc56,2018.09.30,-,IssamSSH,ericheumann,0-1,2018.09.30,22:01:15,1610,1789,-5,6,A45,Trompowsky Attack,0+1,Time forfeit,,,13944,13926
Rated Blitz game,https://lichess.org/aIOMSdBT,2018.09.30,-,THEKINGHUNTER1,tanker1988,1-0,2018.09.30,22:01:15,1635,1586,9,-9,C00,French Defense: Knight Variation,180+0,Normal,,,13964,13946
Rated Blitz game,https://lichess.org/ejdZNA4K,2018.09.30,-,WesleySoFan101,kmy,0-1,2018.09.30,22:01:16,1264,1138,-22,15,A53,Old Indian Defense,180+3,Normal,,,13984,13966
Rated Blitz game,https://lichess.org/wMk3HB9p,2018.09.30,-,Magnifisto,adnan13,1-0,2018.09.30,22:01:16,1882,1739,6,-6,A02,Bird Opening,180+0,Time forfeit,,,14004,13986
Rated Bullet tournament https://lichess.org/tournament/tnkVjg03,https://lichess.org/I0aoUpzZ,2018.09.30,-,washakuru,braverpawn,1-0,2018.09.30,22:00:33,1977,1294,0,0,C00,Queen's Pawn Game: Franco-Sicilian Defense,120+0,Time forfeit,,,14024,14006
Rated Bullet game,https://lichess.org/qIsytMiG,2018.09.30,-,rayvitoles,ESP-918,1/2-1/2,2018.09.30,22:00:34,2227,1863,-10,10,C33,"King's Gambit Accepted: Bishop's Gambit, Steinitz Defense",120+1,Normal,,,14044,14026
Rated Bullet game,https://lichess.org/K63DkDFv,2018.09.30,-,Kinvig74,SunendraBora,0-1,2018.09.30,22:00:34,1506,1497,-11,11,B06,Modern Defense,60+0,Normal,,,14064,14046
Rated Classical game,https://lichess.org/LeiVIfuX,2018.09.30,-,kurzanov,potpiemaster,1-0,2018.09.30,22:00:34,1699,1630,22,-17,C42,Petrov's Defense #5,1800+0,Normal,,,14084,14066
Rated Classical game,https://lichess.org/ykBsFbxp,2018.09.30,-,vadymtrifonov,BERDOM,1-0,2018.09.30,22:00:34,1771,1026,0,-1,A45,Indian Game: Pawn Push Variation,2700+2,Normal,,,14104,14086
Rated Bullet game,https://lichess.org/js343cA2,2018.09.30,-,RONINSAMURAY,teymurov,1-0,2018.09.30,22:00:34,1486,1425,9,-10,B06,Modern Defense,120+0,Normal,,,14124,14106
Rated Bullet game,https://lichess.org/2bvxRccU,2018.09.30,-,indiciado,ricardus33,1-0,2018.09.30,22:00:35,2098,2088,10,-10,A10,English Opening: Anglo-Lithuanian Variation,60+0,Normal,,,14144,14126
Rated Bullet game,https://lichess.org/8D21H5Be,2018.09.30,-,k_koco,faalaap,1/2-1/2,2018.09.30,22:00:35,1409,1417,0,-1,C41,Philidor Defense #3,60+0,Time forfeit,,,14164,14146
Rated Bullet game,https://lichess.org/sSPE96f3,2018.09.30,-,jem555,iThinkChessIsLame,0-1,2018.09.30,22:00:35,1365,1600,-4,5,A10,English Opening,60+0,Time forfeit,,,14184,14166
Rated Bullet game,https://lichess.org/lboP29Ng,2018.09.30,-,JOAKKIN,BeboChess,0-1,2018.09.30,22:00:35,1389,1380,-11,10,B20,Sicilian Defense: Bowdler Attack,60+0,Time forfeit,,,14204,14186
Rated UltraBullet game,https://lichess.org/xlwh31aQ,2018.09.30,-,googlewar,Yarmo10,1-0,2018.09.30,22:00:35,2144,2081,11,-10,A01,Nimzo-Larsen Attack: Classical Variation,15+0,Time forfeit,,,14224,14206
Rated Correspondence game,https://lichess.org/KS5aqtFP,2018.09.30,-,tiobarras,macher79,1-0,2018.09.30,22:00:36,1686,1742,14,-18,D00,Queen's Pawn Game: Steinitz Countergambit,-,Time forfeit,,,14244,14226
Rated Blitz game,https://lichess.org/97beiBly,2018.09.30,-,facricasla,raphzn,0-1,2018.09.30,22:00:36,919,995,-9,8,A00,Sodium Attack,300+0,Normal,,,14264,14246
Rated Blitz game,https://lichess.org/JjtfXVT5,2018.09.30,-,zorandjk,omar2,1/2-1/2,2018.09.30,22:00:36,1906,1886,-1,1,C25,Vienna Game: Max Lange Defense,300+0,Normal,,,14284,14266
Rated Blitz game,https://lichess.org/brJ4JAN6,2018.09.30,-,deda_max,rajkirankm,1-0,2018.09.30,22:00:36,1566,1476,8,-7,B00,Nimzowitsch Defense: Mikenas Variation,300+0,Normal,,,14304,14286
Rated Blitz game,https://lichess.org/e5wUYiOz,2018.09.30,-,stejacob,salihaziz216,0-1,2018.09.30,22:00:36,1436,1446,-10,11,B21,Sicilian Defense: McDonnell Attack,300+0,Normal,,,14324,14306
Rated Blitz game,https://lichess.org/RwXMQPw7,2018.09.30,-,fredkamaru,avi_1987,0-1,2018.09.30,22:00:36,1455,1409,-12,12,C01,"French Defense: Exchange Variation, Monte Carlo Variation",300+0,Normal,,,14344,14326
Rated Blitz game,https://lichess.org/jaKxSLj4,2018.09.30,-,ventana,JUSU82,0-1,2018.09.30,22:00:36,1256,1288,-9,9,B01,Scandinavian Defense,300+0,Normal,,,14364,14346
Rated Blitz game,https://lichess.org/IMEfxO5B,2018.09.30,-,Alireza102,josemanuel6363,0-1,2018.09.30,22:00:36,1546,1616,-9,9,C41,Philidor Defense #2,300+0,Normal,,,14384,14366
Rated Blitz game,https://lichess.org/uNk7DFbd,2018.09.30,-,pavelk1980,matt96k,0-1,2018.09.30,22:00:36,1643,1795,-7,6,A40,Horwitz Defense,300+0,Normal,,,14404,14386
Rated Blitz game,https://lichess.org/cNfC68b1,2018.09.30,-,placidbro,kirantz,1-0,2018.09.30,22:00:36,1874,1877,11,-11,A04,Zukertort Opening: Kingside Fianchetto,300+0,Normal,,,14424,14406
